week,DOY,weekday,hour,duration,start_id,start_lat,start_lon,end_id,end_lat,end_lon,UTC_DOY,UTC_hour
22,152,Tue,0,347,1098,55.936431918148195,-3.194150044314256,1727,55.93650603148236,-3.1801663476151134,152,0
22,152,Tue,0,337,1098,55.936431918148195,-3.194150044314256,1727,55.93650603148236,-3.1801663476151134,152,0
22,152,Tue,0,5190,1820,55.90841344459825,-3.3287835258168874,1820,55.90841344459825,-3.3287835258168874,152,0
22,152,Tue,0,1127,1769,55.96085174106396,-3.180985762469163,1025,55.93970989541296,-3.2205889336679547,152,0
22,152,Tue,1,2280,1039,55.947409199207115,-3.2057654971365537,358,55.96517649040763,-3.1761801702076298,152,1
22,152,Tue,2,1231,1823,55.94007146917616,-3.215335840688084,265,55.939809466328285,-3.182738850746432,152,2
22,152,Tue,2,1194,1823,55.94007146917616,-3.215335840688084,265,55.939809466328285,-3.182738850746432,152,2
22,152,Tue,2,428,1823,55.94007146917616,-3.215335840688084,1024,55.940237631689435,-3.194640214184801,152,2
22,152,Tue,3,540,264,55.94008064125911,-3.171746866852459,1798,55.94760044619224,-3.1889197367352153,152,3
22,152,Tue,3,724,254,55.923478807846635,-3.1753845849070785,1727,55.93650603148236,-3.1801663476151134,152,3
22,152,Tue,4,546,1102,55.94556945067266,-3.21818468327956,1091,55.94955950619123,-3.180413257527789,152,4
22,152,Tue,4,375,265,55.939809466328285,-3.182738850746432,183,55.951980756193535,-3.1918903325579038,152,4
22,152,Tue,4,163,1748,55.933416359161036,-3.21239711224257,1744,55.927985349796536,-3.209749771944871,152,4
22,152,Tue,4,491,1050,55.94607055533778,-3.2103963310007657,183,55.951980756193535,-3.1918903325579038,152,4
22,152,Tue,4,532,1050,55.94607055533778,-3.2103963310007657,183,55.951980756193535,-3.1918903325579038,152,4
22,152,Tue,4,690,1038,55.97132539148155,-3.207963567424258,358,55.96517649040763,-3.1761801702076298,152,4
22,152,Tue,5,497,1025,55.93970989541296,-3.2205889336679547,1757,55.92758664038103,-3.2336710530441906,152,5
22,152,Tue,5,435,358,55.96517649040763,-3.1761801702076298,250,55.977617152546344,-3.1741263194576277,152,5
22,152,Tue,5,933,1096,55.9438359841253,-3.1849514084976818,254,55.923478807846635,-3.1753845849070785,152,5
22,152,Tue,5,1181,1738,55.94564841884953,-3.2318471509140636,358,55.96517649040763,-3.1761801702076298,152,5
22,152,Tue,6,1142,1823,55.94007146917616,-3.215335840688084,1814,55.95524788917224,-3.1722162800950704,152,6
22,152,Tue,6,1234,1727,55.93650603148236,-3.1801663476151134,1753,55.959536249717715,-3.223434402338853,152,6
22,152,Tue,6,293,1102,55.94556945067266,-3.21818468327956,249,55.94335692764551,-3.2092475016246453,152,6
22,152,Tue,6,313,249,55.94335692764551,-3.2092475016246453,1051,55.93836921723555,-3.1980326885466184,152,6
22,152,Tue,6,1165,1814,55.95524788917224,-3.1722162800950704,1756,55.96283984266853,-3.234135938375289,152,6
22,152,Tue,6,803,250,55.977617152546344,-3.1741263194576277,1038,55.97132539148155,-3.207963567424258,152,6
22,152,Tue,6,752,1102,55.94556945067266,-3.21818468327956,1730,55.95995414501485,-3.1871977585476543,152,6
22,152,Tue,7,3498,358,55.96517649040763,-3.1761801702076298,358,55.96517649040763,-3.1761801702076298,152,7
22,152,Tue,7,1012,1051,55.93836921723555,-3.1980326885466184,1737,55.964117879889585,-3.2020947474163677,152,7
22,152,Tue,7,981,253,55.92320215516664,-3.1716462453634904,183,55.951980756193535,-3.1918903325579038,152,7
22,152,Tue,7,349,265,55.939809466328285,-3.182738850746432,265,55.939809466328285,-3.182738850746432,152,7
22,152,Tue,7,669,1024,55.940237631689435,-3.194640214184801,1726,55.94485886752089,-3.182589723460069,152,7
22,152,Tue,7,786,1823,55.94007146917616,-3.215335840688084,1757,55.92758664038103,-3.2336710530441906,152,7
22,152,Tue,7,1086,254,55.923478807846635,-3.1753845849070785,189,55.95010933017899,-3.190257770093808,152,7
22,152,Tue,7,1217,1737,55.964117879889585,-3.2020947474163677,1051,55.93836921723555,-3.1980326885466184,152,7
22,152,Tue,7,1003,1726,55.94485886752089,-3.182589723460069,253,55.92320215516664,-3.1716462453634904,152,7
22,152,Tue,7,562,264,55.94008064125911,-3.171746866852459,1017,55.94478427951007,-3.186906245433761,152,7
22,152,Tue,7,1823,358,55.96517649040763,-3.1761801702076298,1727,55.93650603148236,-3.1801663476151134,152,7
22,152,Tue,7,943,1737,55.964117879889585,-3.2020947474163677,1756,55.96283984266853,-3.234135938375289,152,7
22,152,Tue,7,1901,1091,55.94955950619123,-3.180413257527789,252,55.92418540667696,-3.173830830087809,152,7
22,152,Tue,7,582,1024,55.940237631689435,-3.194640214184801,2268,55.95653524179326,-3.1862476120746805,152,7
22,152,Tue,7,388,1093,55.95197357717703,-3.226124804664096,1050,55.94607055533778,-3.2103963310007657,152,7
22,152,Tue,7,799,1823,55.94007146917616,-3.215335840688084,289,55.951500737349754,-3.2031839065252825,152,7
22,152,Tue,7,3897,250,55.977617152546344,-3.1741263194576277,250,55.977617152546344,-3.1741263194576277,152,7
22,152,Tue,7,1453,1025,55.93970989541296,-3.2205889336679547,1025,55.93970989541296,-3.2205889336679547,152,7
22,152,Tue,8,761,1798,55.94760044619224,-3.1889197367352153,1763,55.95941012836135,-3.2156613606136943,152,8
22,152,Tue,8,1685,1092,55.94179129688128,-3.2224153095964994,1824,55.96901164826488,-3.16739470303429,152,8
22,152,Tue,8,1145,2268,55.95653524179326,-3.1862476120746805,253,55.92320215516664,-3.1716462453634904,152,8
